Series Title
1. Game of Thrones
2. Breaking Bad
3. Stranger Things
4. The Walking Dead
5. Friends
6. Sherlock
7. The Big Bang Theory
8. Dexter
9. The Boys
10. The Office
11. How I Met Your Mother
12. Better Call Saul
13. Peaky Blinders
14. True Detective
15. Squid Game
16. Black Mirror
17. The Last of Us
18. Rick and Morty
19. Lost
20. Attack on Titan
21. Prison Break
22. The Mandalorian
23. Vikings
24. The Witcher
25. Money Heist
26. House
27. Westworld
28. House of Cards
29. The Sopranos
30. Modern Family
31. Suits
32. Supernatural
33. Daredevil
34. Narcos
35. Dark
36. House of the Dragon
37. Wednesday
38. The Simpsons
39. Arrow
40. Loki
41. Fargo
42. Mr. Robot
43. Death Note
44. South Park
45. The Lord of the Rings: The Rings of Power
46. Avatar: The Last Airbender
47. Ted Lasso
48. Arcane
49. The Wire
50. Brooklyn Nine-Nine
